State,state_code,LGA,lga_code
Abia,001,Aba North,001001
Abia,001,Aba South,001002
Abia,001,Arochukwu,001003
Abia,001,Bende,001004
Abia,001,Ikwuano,001005
Abia,001,Isiala Ngwa North,001006
Abia,001,Isiala Ngwa South,001007
Abia,001,Isuikwuato,001008
Abia,001,Obi Ngwa,001009
Abia,001,Ohafia,001010
Abia,001,Osisioma,001011
Abia,001,Ugwunagbo,001012
Abia,001,Ukwa East,001013
Abia,001,Ukwa West,001014
Abia,001,Umu Nneochi,001015
Abia,001,Umuahia North,001016
Abia,001,Umuahia South,001017
Adamawa,002,Demsa,002001
Adamawa,002,Fufure,002002
Adamawa,002,Ganye,002003
Adamawa,002,Gayuk,002004
Adamawa,002,Gombi,002005
Adamawa,002,Grie,002006
Adamawa,002,Hong,002007
Adamawa,002,Jada,002008
Adamawa,002,Lamurde,002009
Adamawa,002,Madagali,002010
Adamawa,002,Maiha,002011
Adamawa,002,Mayo Belwa,002012
Adamawa,002,Michika,002013
Adamawa,002,Mubi North,002014
Adamawa,002,Mubi South,002015
Adamawa,002,Numan,002016
Adamawa,002,Shelleng,002017
Adamawa,002,Song,002018
Adamawa,002,Toungo,002019
Adamawa,002,Yola North,002020
Adamawa,002,Yola South,002021
Akwa Ibom,003,Abak,003001
Akwa Ibom,003,Eastern Obolo,003002
Akwa Ibom,003,Eket,003003
Akwa Ibom,003,Esit Eket,003004
Akwa Ibom,003,Essien Udim,003005
Akwa Ibom,003,Etim Ekpo,003006
Akwa Ibom,003,Etinan,003007
Akwa Ibom,003,Ibeno,003008
Akwa Ibom,003,Ibesikpo Asutan,003009
Akwa Ibom,003,Ibiono-Ibom,003010
Akwa Ibom,003,Ika,003011
Akwa Ibom,003,Ikono,003012
Akwa Ibom,003,Ikot Abasi,003013
Akwa Ibom,003,Ikot Ekpene,003014
Akwa Ibom,003,Ini,003015
Akwa Ibom,003,Itu,003016
Akwa Ibom,003,Mbo,003017
